t,r
979244,2532.315343712153
979254,2529.332916007697
979264,2502.6907519707665
979274,2487.2444592359634
979284,2475.502575235986
979294,2472.2803239115096
979304,2480.006854829236
979314,2455.1034601417514
979324,2456.202353227437
979334,2424.419930622581
979344,2401.4672598226275
979354,2380.273093575609
979364,2362.345656333975
979374,2386.115881511206
979384,2400.1302048013977
979394,2368.307834720816
979404,2373.5446067011253
979414,2360.0
979424,2371.420249555106
979434,2346.6580492266016
979444,2341.962424976114
979454,2315.9317779243843
979464,2273.1097641777
979474,2276.0125219339193
979484,2265.3558219405622
979494,2236.3007400615866
979504,2229.0906217558763
979514,2215.6039808593955
979524,2212.789190139901
979534,2237.1455026439385
979544,2247.4541152157035
979554,2268.075175120966
979564,2257.121175302735
979574,2246.813298874653
979584,2198.986130015376
979594,2195.8073686004427
979604,2195.560292954853
979614,2173.7297440114307
979624,2133.7825568693734
979634,2145.4297937709357
979644,2126.067966928621
979654,2122.400763286708
979664,2166.4941726208267
979674,2176.9724389619637
979684,2153.8061658375855
979694,2160.3703386225243
979704,2146.6031305297215
979714,2150.703373317669
979724,2185.343222471015
979734,2184.5612831870844
979744,2179.67543455442
979754,2198.883807753379
979764,2202.371676170941
979774,2209.128787554044
979784,2177.9442141616023
979794,2178.998164294775
979804,2162.381094996902
979814,2145.6469886726472
979824,2151.6300797302497
979834,2150.4250742585755
979844,2152.5240997489436
979854,2147.497380673606
979864,2161.9502769490327
979874,2173.891671634077
979884,2163.670261384576
979894,2179.696538511726
979904,2196.5302183216145
979914,2206.1958208645033
979924,2203.8244031682743
979934,2230.6781480079103
979944,2239.2250891770573
979954,2266.48648793678
979964,2300.313456901037
979974,2306.8333273125736
979984,2336.675416055897
979994,2362.597087952154
