timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
980294,707,-247,-443,583,-4016,-7140,95424.507812,4,2,2,3,33.765984,130.896698
980304,463,-30,-466,782,-4124,-6139,95424.507812,4,2,2,3,33.765984,130.896698
980314,-667,156,-494,773,-4188,-6185,95424.507812,4,2,2,3,33.765984,130.896698
980324,-790,-528,-528,1254,-4775,-7825,95446.375000,4,2,2,3,33.765984,130.896698
980334,-424,215,-516,1366,-4801,-8341,95446.375000,4,2,2,3,33.765984,130.896698
980344,-531,300,-468,1438,-4752,-7287,95446.375000,4,2,2,3,33.765984,130.896698
980354,-943,-251,-542,1101,-4047,-6689,95446.375000,4,2,2,3,33.765984,130.896698
980364,-795,347,-748,1543,-4849,-5343,95468.421875,4,2,2,3,33.765984,130.896698
980374,-545,41,-583,118,-4517,-4852,95468.421875,4,2,2,3,33.765984,130.896698
980384,-786,-250,-706,933,-5034,-3861,95468.421875,4,2,2,3,33.765984,130.896698
980394,-888,-1051,-885,2097,-4844,-6195,95468.421875,4,2,2,3,33.765984,130.896698
980404,905,-426,-575,1727,-4775,-8262,95493.546875,4,2,2,3,33.765984,130.896698
980414,-438,2279,-864,1744,-5189,-7061,95493.546875,4,2,2,3,33.765984,130.896698
980424,-911,-1418,-910,1281,-4849,-7903,95493.546875,4,2,2,3,33.765984,130.896698
980434,-247,79,-991,931,-5864,-10893,95493.546875,4,2,2,3,33.765984,130.896698
980444,-640,101,-593,1137,-5138,-11700,95509.781250,4,2,2,3,33.765984,130.896698
980454,-1354,298,-638,1345,-4881,-11601,95509.781250,4,2,2,3,33.765984,130.896698
980464,-1171,948,-757,374,-6298,-14719,95509.781250,4,2,2,3,33.765984,130.896698
980474,-812,45,-781,105,-5804,-12668,95509.781250,4,2,2,3,33.765984,130.896698
980484,-823,-409,-693,1316,-6270,-13530,95524.984375,4,2,2,3,33.765984,130.896698
980494,74,315,-725,18,-6017,-12791,95524.984375,4,2,2,3,33.765984,130.896698
980504,718,88,-871,303,-6514,-13468,95524.984375,4,2,2,3,33.765984,130.896698
980514,-86,-1048,-1034,436,-6133,-12324,95524.984375,4,2,2,3,33.765984,130.896698
980524,-438,843,-1196,1520,-5836,-11402,95541.906250,4,2,2,3,33.765984,130.896698
980534,-1162,-636,-1039,1137,-6403,-9879,95541.906250,4,2,2,3,33.765984,130.896698
980544,-647,-264,-1138,1465,-6579,-6727,95541.906250,4,2,2,3,33.765984,130.896698
980554,-569,-165,-1392,886,-7051,-4121,95541.906250,4,2,2,3,33.765984,130.896698
